question,answer1,answer2,answer3,answer4,correct_answer,image_url
W skład typowego frameworka wchodzą,"zarządzanie komunikacją z bazą danych, mechanizm uruchamiania i przetwarzania akcji",domena i obsługa błędów,obsługa formularzy i wbudowany serwer,"mechanizm uruchamiania i przetwarzania akcji, oraz certyfikat http",0,
"W celu stworzenia relacji wiele do wielu łączącej tabele A i B wystarczy, że",tabela A będzie zawierała te same pola co tabela B,wiele rekordów z tabeli A zduplikuje się w tabeli B,zdefiniuje się trzecią tabelę z kluczami obcymi do tabel A i B,tabelę A połączy się z tabelą B poprzez zdefiniowanie kluczy obcych,2,
W celu zapewnienia spójności danych w bazie programu Microsoft Access należy skorzystać,z więzów integralności,z kwerendy aktualizującej,z defragmentacji bazy,z archiwizacji bazy,0,
W załączonym fragmencie kodu CSS kolor jest zapisany w postaci,HSL,dziesiętnej,CMYK,szesnastkowej,3,images/148.jpg
W języku skryptowym JavaScript zmienne mogą być deklarowane,w momencie pierwszego użycia zmiennej,tylko na początku skryptu,tylko jeśli podamy typ zmiennej i jej nazwę,zawsze z poprzedzającym nazwę znakiem $,0,
W językach programowania zmienna typu integer służy do przechowywania,znaku,liczby całkowitej,liczby rzeczywistej,wartości logicznej,1,
"Jeśli rozmiar pliku graficznego jest zbyt duży do publikacji w Internecie, należy",dodać kanał alfa,zmniejszyć jego rozdzielczość,zwiększyć jego głębię kolorów,zapisać w formacie BMP,1,
Które z poleceń umożliwia dodanie kolumny zadaniekompletne do tabeli zadania?,ALTER TABLE zadania ADD COLUMN zadaniekompletne int,ADD COLUMN zadaniekompletne WITH zadania,CREATEINDEX zadania ADD COLUMN zadaniekompletne int,INSERT INTO zadania VALUES zadaniakompletne,0,
"W bazie danych, w celu uporządkowania listy uczniów według roku urodzenia, należy użyć polecenia","SELECT imie,nazwisko,klasa from uczniowie group by rok_urodzenia","SELECT imie,nazwisko,klasa from uczniowie order by rok_urodzenia","SELECT imie,nazwisko,klasa from uczniowie order by nazwisko","SELECT imie,nazwisko,klasa from uczniowie where rok_urodzenia = 1994",1,
Wskaż dwa sposoby zabezpieczenia bazy danych Microsoft Access,Ustalanie hasła do otwarcia bazy danych oraz zabezpieczeń na poziomie użytkownika,Zaszyfrowanie pliku bazy danych oraz SMSy z kodem autoryzującym,Funkcje anonimowe oraz ustalenie hasła otwarcia bazy danych,Ustalenie zabezpieczeń na poziomie użytkownika oraz sesji,0,
"W zamieszczonym przykładzie pseudoklasa hover sprawi, że styl pogrubiony będzie przypisany","odnośnikowi, w momencie kiedy najechał na niego kursor myszy",wszystkim odnośnikom nieodwiedzonym,każdemu odnośnikowi niezależnie od aktualnego stanu,wszystkim odnośnikom odwiedzonym,0,images/155.jpg
Certyfikat SSL jest stosowany do,zapisania danych o sesjach tworzonych w witrynie,zidentyfikowania właściciela domeny,deszyfracji transmitowanych danych,blokowania szkodliwego oprogramowania w witrynie,1,
W języku SQL przywilej SELECT polecenia GRANT pozwala użytkownikowi baz danych na,odczyt danych z tabeli,tworzenie tabeli,usunięcie danych z tabeli,modyfikowanie danych w tabeli,0,
W języku HTML atrybut alt znacznika img jest wykorzystywany w celu zdefiniowania,ścieżki i nazwy pliku źródłowego grafiki,"tekstu, który będzie wyświetlony, jeśli nie może być wyświetlona grafika","podpisu, który zostanie wyświetlony pod grafiką","atrybutów grafiki, takich jak rozmiar, obramowanie, wyrównanie",1,
"Warunek zapisany językiem PHP wypisze liczbę, gdy",jest ona parzysta,jest ona liczbą pierwszą,wynik dzielenia liczby przez 2 jest równy 0,jest ona dodatnia,0,images/159.jpg
"Analizując przedstawiony kod zapisany w języku HTML, można stwierdzić, że w przeglądarce",zostanie ustawiony dolny margines dla bloku B,blok B będzie oddalony od bloku A o 20 px,blok A będzie przesunięty w lewo o 20 px,bloki A i B będą nachodzić na siebie.,1,images/160.jpg
"Baza danych zawiera tabelę o nazwie pracownicy o polach: nazwisko, imie, pensja, wiek. Jak wygląda składnia polecenia wyznaczającego średnią pensję pracowników?",select AVG (nazwisko) into pensja,select VAR (pracownicy) into pensja,select AVG (pensja) from pracownicy,select VAR (pensja) from nazwisko,2,
Do reprezentacji liczb zmiennoprzecinkowych w języku C stosowany jest typ,int,bool,char,double,3,
Polecenie SQL o treści: UPDATE artykuly SET cena = cena * 0.7 WHERE kod = 2; oznacza,w tabeli artykuly obniża wartość każdego pola cena o 30% dla wszystkich artykułów,w tabeli artykuly obniża wartość każdego pola cena dla którego pole kod jest równe 2,wprowadzenie w tabeli artykuly nowych pól cena i kod,wprowadzenie w tabeli artykuly pola o nazwie cena ze znacznikiem kod,1,
Do edycji grafiki wektorowej stosuje się program,Paint,Audacity,Wordpad,Corel Draw,3,
"W programowaniu obiektowym mechanizm współdzielenia pól i metod klasy w taki sposób, że klasa pochodna zawiera metody zdefiniowane w klasie bazowej nazywa się",hermetyzacją,wirtualizacją,polimorfizmem,dziedziczeniem,3,
Który z wymienionych znaczników języka HTML nie jest stosowany w celu formatowania tekstu?,<em>,<sub>,<div>,<strong>,2,
"Aby zdefiniować w języku HTML listę nienumerowaną, należy użyć znacznika",<dd>,<dt>,<ol>,<ul>,3,
"W języku CSS właściwość font-size przyjmuje, według słów kluczowych, wartości",tylko big i small,"wyłączenie small, medium, large","jedynie small, smaller,large, larger","ze zbioru xx-small, x-small, medium, large, x-large, xx-large",3,
"W języku CSS, w celu zdefiniowania wewnętrznego górnego marginesu, czyli odstepu między elementem a otaczającym go obramowaniem, należy użyć polecenia",padding-top,outline-top,border-top,local-top,0,
Funkcja edytor WYSIWYG Adobe Dreamweaver służy do,wyświetlania interaktywnego drzewa struktury HTML dla zawartości statycznej i dynamicznej,definiowania kaskadowych arkuszy stylów dołączonych do witryny,formatowanie tekstu przy pomocy dostępnych znaczników,tworzenia szablonu strony internetowej,0,
"Aby witryna internetowa prawidłowo skalowała się w urządzeniach mobilnych, należy wielkość czcionki zdefiniować",w pikselach,w procentach,w milimetrach,tylko znacznikami big i small,1,
Znacznik meta języka HTML należy umieścić,pomiędzy znacznikami body,w części nagłówkowej witryny internetowej,pomiędzy znacznikami paragrafu,w stopce witryny internetowej,1,
"Prawidłowy, zgodny ze standardem języka XHTML, zapis samozamykającego się znacznika odpowiadającego za łamanie linii ma postać",</ br>,<br />,</br/>,<br> </br>,1,
Najprostszą i najmniej pracochłonną metodą przetestowania działania witryny internetowej w wielu przeglądarkach i ich różnych wersjach jest,skorzystanie z walidatora języka HTML,skorzystanie z emulatora przeglądarek internetowych np. Browser Sandbox,zainstalowanie na kilku komputerach różnych przeglądarek i testowanie witryny,"testowanie witryny w programie Internet Explorer, zakładając kompatybilność innych przeglądarek",1,
"Aby przenieść witrynę na serwer, można skorzystać z oprogramowania",Bugzilla,Go!Zilla,FileZilla,CloneZilla,2,
"Kolor zapisany kodem RGB, o wartości rgb(255, 128, 16) w kodzie szesnastkowym będzie miał wartość:",#008010,#ff0f10,#ff8010,#ff8011,2,
"Plik graficzny należy zapisać w formacie GIF, jeżeli",jest to grafika wektorowa,jest to obraz stereoskopowy,jest potrzeba zapisu obrazu bez kompresji,jest potrzeba zapisu obrazu lub animacji,3,
"Aby dopasować dźwięk do danego poziomu głośności, należy użyć efektu",wyciszenia,normalizacji,podbicia basów,usuwania szumów,1,
Instrukcja DROP języka SQL ma za zadanie,usunąć istniejący obiekt,zmienić parametry obiektu,zaktualizować dane obiektu,dodać nowy obiekt,0,
"Baza danych zawiera tabelę uczniowie z polami: imie, nazwisko, klasa. Aby odnaleźć imiona i nazwiska tych uczniów, których nazwiska rozpoczynają się literą M, należy zastosować polecenie SQL","SELECT nazwisko, imie FROM uczniowie WHERE nazwisko IN ""M%"";","SELECT nazwisko, imie FROM uczniowie WHERE nazwisko LIKE ""M%"";","SELECT nazwisko, imie FROM uczniowie ORDER BY nazwisko = ""M%"";","SELECT nazwisko, imie FROM uczniowie ORDER BY nazwisko IN ""M%"";",1,
"Baza danych zawiera tabele z polami: . Aby wyświetlić wszystkie nazwy artykułów wyłącznie typu pralka, dla których cena jest z przedziału 1000 PLN i 1500 PLN, należy zastosować polecenie","SELECT nazwa FROM artykuly WHERE typ=""pralka"" AND cena FROM 1000 TO 1500;","SELECT nazwa FROM artykuly WHERE typ=""pralka"" OR cena BETWEEN 1000 OR 1500;","SELECT nazwa FROM artykuly WHERE typ=""pralka"" OR cena BETWEEN 1000 AND 1500;","SELECT nazwa FROM artykuly WHERE typ=""pralka"" AND cena BETWEEN 1000 AND 1500;",3,
Wartość pola tabeli pełniącego rolę klucza podstawowego,musi być unikalna,jest zawsze typu numerycznego,służy do szyfrowania zawartości tabeli,może przyjmować wartość pustą (NULL),0,
"Aby utworzyć relację jeden do wielu, w tabeli po stronie , należy zdefiniować",klucz obcy wskazujący na klucz obcy tabeli po stronie,klucz sztuczny odnoszący się do kluczy podstawowych obu tabel,klucz obcy wskazujący na klucz podstawowy tabeli po stronie,klucz podstawowy wskazujący na klucz podstawowy tabeli po stronie,2,
Narzędziem służącym do grupowania i prezentowania informacji z wielu rekordów w celu ich drukowania lub rozpowszechniania jest,raport,kwerenda,formularz,makropolecenie,0,
"Aby uprościć wprowadzenie i edytowanie danych w tabeli, należy zdefiniować",kwerendę SELECT,formularz,raport,filtr,1,
Baza danych 6-letniej szkoły podstawowej zawiera tabelę z polami: . Wszyscy uczniowie klas 1-5 zdali do następnej klasy. Aby zwiększyć wartość w polu klasa o 1 należy użyć polecenia,SELECT szkola FROM klasa=klasa+1 WHERE klasa >=1 AND klasa <=5;,"SELECT nazwisko, imie FROM klasa=klasa+1 WHERE klasa>1 OR klasa <5;",UPDATE szkola SET klasa=klasa+1 WHERE klasa>=1 AND klasa <=5;,"UPDATE nazwisko, imie SET klasa=klasa+1 WHERE klasa>1 OR klasa<5;",2,
"Uprawnienia obiektowe, nadawane użytkownikom serwera bazy danych, mogą pozwalać lub zabraniać",dziedziczyć uprawnienia,modyfikować role i konta użytkowników,"wykonywać instrukcje, takie jak tworzenie kopii zapasowej","wykonywać operacje na bazie, takie jak wstawanie lub modyfikowanie danych",3,
"Przed wykonaniem kopii bezpieczeństwa bazy danych, tak aby kopia ta była poprawna i możliwa do późniejszego odtworzenia, należy sprawdzić",możliwość udostępnienia bazy danych,prawa dostępu do serwera bazy danych,poprawność składni zapytań,spójność bazy danych,3,
W MS SQL Server polecenie RESTORE DATABASE służy do,odtworzenia bazy danych z kopii bezpieczeństwa,odświeżenia bazy danych z kontrolą więzów integralności,przebudowania bazy danych w oparciu o buforowane dane,usunięcia bazy danych z serwera centralnego subskrybenta,0,
W języku PHP zmienna typu float przyjmuje wartości,logiczne,nieliczbowe,tylko całkowite,zmiennoprzecinkowe,3,
Dany jest fragment kodu PHP z zdeklarowaną zmienną typu tablicowego. W wyniku wykonania kodu zostanie wpisane imię,Anna,Tomasz,Krzysztof,Aleksandra,2,images/191.jpg
Przedstawiony kod języka PHP,"jest błędny, nieznany operator =>",definiuje tablicę z trzema wartościami,definiuje tablicę z sześcioma wartościami,"jest błędny, indeksami tablicy mogą być tylko liczby całkowite",1,images/192.jpg
W języku JavaScript poprawnie nazwana zmienna to,#imie,imie2,imię2,imię%,1,
"Zakładając, że zmienne: a, b, c przechowują wartości numeryczne, wynikiem działania warunku będzie wypisanie liczby",najmniejszej,największej,nieparzystej,parzystej,1,images/194.jpg
Fragment kodu języku PHP ma następującą postać. Wynikiem działania pętli będzie wypisanie liczb:,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19","0,4,8,12,16,20","0,4,8,12,16",2,images/195.jpg
Zadaniem funkcji zapisanej w języku PHP jest,Wypisanie liczby parzystej,Wypisanie liczby nieparzystej,"Zwrócenie wartości 1, gdy liczba jest parzysta","Zwrócenie wartości 0, gdy liczba jest parzysta",2,images/196.jpg
Wykonanie kodu JavaScript w przeglądarce wymaga,debugowania,kompilowania,interpretowania,zamiany na kod maszynowy,2,
Kod strony WWW napisanej w języku PHP,jest wykonywany po stronie klienta,jest wykonywany po stronie serwera,może być uruchomiony bez obsługi serwera WWW,jest przetwarzany na tych samych zasadach co JavaScript,1,
"Zakładając, że zmienna tablicowa $tab jest wypełniona liczbami naturalnymi, wynikiem programu będzie wypisanie",największego elementu tablicy,najmniejszego elementu tablicy,"elementu tablicy, który jest równy wartości $tab[0]","tych elementów, które są większe od zmiennej $liczba",0,images/199.jpg
"Fragment kodu w języku JavaScript realizujący dodawanie dwóch liczb ma następującą postać. Aby dodawanie wykonane było po kliknięciu przycisku o nazwie , należy w wykropkowane miejsce wstawić","<button onselect=""return dodaj()"">dodaj</button>","<button onselect=""return dodaj()"">oblicz</button>","<button onclick=""return oblicz()"">dodaj</button>","<button onclick=""return dodaj()"">dodaj</button>",3,images/200.jpg
Komentarz w języku JavaScript rozpoczyna się od znaku lub znaków,<!--,<?,//,#,2,
Polecenie pg_connect języka PHP służy do połączenia z bazą,mySQL,MS SQL,PostgreSQL,MS ACCESS,2,
"Aby zamieścić aplikację PHP w internecie, należy jej pliki źródłowe skopiować na serwer za pomocą protokołu",FTP,HTTP,SMTP,NNTP,0,
Personalizowanie wyglądu strony dla danego użytkownika i jego identyfikacja w serwisie są możliwe dzięki mechanizmowi,obiektów DOM,łączenia z bazą,formularzy,cookie,3,
Automatyczna weryfikacja właściciela strony udostępnianej przez protokół HTTPS jest możliwa dzięki,danym kontaktowym na stronie,kluczom prywatnym,certyfikatowi SSL,danym whois,2,
"Do grupowania obszarów na poziomie bloków, które będą formatowane za pośrednictwem znaczników, należy użyć",<p>,<div>,<span>,<param>,1,
Znacznik <i> języka HTML służy do,umieszczenia obrazka,zdefiniowania formularza,zmiany kroju pisma na pochylony,zdefiniowania nagłówka w tekście,2,
Poniżej przedstawiono fragment kodu języka HTML. Jest on definicją listy:,A,B,C,D,2,images/208.jpg
"Kod języka CSS można umieścić wewnątrz kodu HTML, posługując się znacznikiem",<head>,<style>,<meta>,<body>,1,
"Chcąc zdefiniować formatowanie tabeli w języku CSS w taki sposób, aby wiersz, który jest aktualnie wskazywany kursorem myszy, został wyróżniony np. innym kolorem, należy zastosować",pseudoklasę :visited,pseudoklasę :hover,pseudoelement :first-line,nowy selektor klasy dla wiersza tabeli,1,
"Aby uzyskać efekt rozstrzelenia liter w selektorze CSS, należy użyć właściwości",letter-transform,text-decoration,letter-spacing,text-space,2,
"Blok deklaracji postaci background-attachment: scroll powoduje, że",grafika tła będzie powtarzana (kafelki),tło strony będzie przewijane razem z tekstem,"tło strony będzie stałe, a tekst będzie się przewijał",grafika tła będzie wyświetlona w prawym górnym rogu strony,1,
"Ikona, która wyświetlona jest przed adresem, w polu adresowym przeglądarki internetowej lub przy tytule otwartej karty przeglądarki nosi nazwę",iConji,favicon,webicon,emoticon,1,
"Aby poprawnie zdefiniować hierarchiczną strukturę tekstu witryny internetowej, należy zastosować",znacznik <div>,znaczniki <frame> i <table>,znacznik <p> z formatowaniem,"znaczniki <h1>, <h2> oraz <p>",3,
Która z reguł walidacji strony internetowej jest błędna?,"Jeżeli w instrukcji używa się kilku atrybutów, ich kolejność powinna być zgodna z alfabetem, np. <img alt=""...."" src=""...."" />","Wyłączanie znaczników musi następować w odwrotnej kolejności, niż były one włączane, np. <p>....<big>...</big></p>","Znaczniki, oprócz samozamykających się, działają do momentu ich wyłączenia znakiem ""/"", np. <p>...</p>","W znacznikach nie są rozróżniane wielkie i małe litery, np. <p> i <P> to ten sam znacznik",0,
